Fasta_ID_alignment,Assigned_Hg_based_on_tree,node_of_assigned_monophyletic_clade,colour_name,colour_hex_code
KU523306_Mexico_CuevaCandelaria__c__714_B2,B2,521,blue,#377CEF
KU523307_Mexico_CuevaCandelaria__c__714_B2,B2,521,blue,#377CEF
I13559_Bahamas_SouthAndrosIsland_c_750_B2e,B2,521,blue,#377CEF
I13560_Bahamas_SouthAndrosIsland_d_750_B2e,B2,521,blue,#377CEF
I14923_Bahamas_AbacoIslands_d_750_B2e,B2,521,blue,#377CEF
I14922_Bahamas_AbacoIslands_d_982_B2e,B2,521,blue,#377CEF
I13320_Bahamas_AbacoIslands_d_750_B2e,B2,521,blue,#377CEF
I13737_Bahamas_LongIsland_d_625_B2e,B2,521,blue,#377CEF
I13739_Bahamas_LongIsland_d_619_B2e,B2,521,blue,#377CEF
I0967_Peru_HuacaPucllana_c_765_B2,B2,521,blue,#377CEF
KU523279_Peru_HuacaPucllana__c__744_B2q1b,B2,521,blue,#377CEF
I0975_Peru_HuacaPucllana_d_1220_C1b,C,784,orange,#FFA600
KU523320_Peru_HuacaPucllana__c__1264_C1b,C,784,orange,#FFA600
KU523319_Peru_HuacaPucllana__c__1639_C1b19,C,784,orange,#FFA600
I0964_Peru_HuacaPucllana_d_540_C1b,C,784,orange,#FFA600
I0966_Peru_HuacaPucllana_c_765_C1b,C,784,orange,#FFA600
KU523317_Peru_HuacaPucllana__c__744_C1b19,C,784,orange,#FFA600
I0968_Peru_HuacaPucllana_d_865_C1b,C,784,orange,#FFA600
KU523318_Peru_HuacaPucllana__c__1264_C1b19,C,784,orange,#FFA600
I13318_Bahamas_CrookedIsland_c_750_C1b,C,784,orange,#FFA600
I13319_Bahamas_CrookedIsland_c_750_C1b,C,784,orange,#FFA600
I2550_Peru_MonteGrande_d_935_C1b,C,784,orange,#FFA600
I2262_Peru_ElBrujo_c_1550_C1b,C,784,orange,#FFA600
I1753_Chile_LosRieles_d_5095_C1b,C,784,orange,#FFA600
ASO_B3_S7__c_Argentina_ArroyoSeco2__7821.5_C1b,C,784,orange,#FFA600
I2230_Argentina_ArroyoSecoIi_d_8670_C1b,C,784,orange,#FFA600
ASO_B24_S31__d_Argentina_ArroyoSeco2__8366.5_C1b,C,784,orange,#FFA600
I15175_USA_Calveras_County_California_c_600_C1b,C,784,orange,#FFA600
I11553_USA_PebbleBeach_California_c_500_C1b,C,784,orange,#FFA600
I2232_Argentina_ArroyoSecoIi_d_8360_C1b,C,784,orange,#FFA600
MW886115_Argentina_Ayampit__n__d__577_C1b,C,784,orange,#FFA600
I0044_Peru_HuacaPucllana_d_615_C1b,C,784,orange,#FFA600
I17497_Chile_Precordillera_d_603_C1b,C,784,orange,#FFA600
I2551_Peru_Huayuncalla_d_830_C1b,C,784,orange,#FFA600
ASO_B10_S17__c_Argentina_ArroyoSeco2__7790_C1b,C,784,orange,#FFA600
I15170_USA_Calveras_County_California_d_1506_C1b,C,784,orange,#FFA600
KU523337_Bolivia_Tiwanaku__c__1314_C1b,C,784,orange,#FFA600
I0042_Peru_Botigiriayocc_d_700_C1b,C,784,orange,#FFA600
I23704_Mexico_Sonora_d_1875_C1b7,C,784,orange,#FFA600
KU523326_Peru_PuebloViejo__c__1164_C1b,C,784,orange,#FFA600
KU523327_Peru_PuebloViejo__c__1264_C1b,C,784,orange,#FFA600
I2244_Peru_ElBrujo_c_925_C1b,C,784,orange,#FFA600
KU523338_Mexico_CuevaCandelaria__c__714_C1b,C,784,orange,#FFA600
I22220_Mexico_Paquim___d_604_C1b,C,784,orange,#FFA600
USR1_Usa_UpwardSunRiver__c_c_11425_C1b,C,784,orange,#FFA600
KU523336_Bolivia_Tiwanaku__c__1314_C1,C,784,orange,#FFA600
I2557_Peru_Ullujaya_d_1395_C1b,C,784,orange,#FFA600
AZ68_Colombia_Aguazuque__d__4030_C1b,C,784,orange,#FFA600
AZ21_Colombia_Aguazuque__d__4030_C1b,C,784,orange,#FFA600
VIS5_Colombia_VistaHermosa__d__3272.5_C1b,C,784,orange,#FFA600
VIS4_Colombia_VistaHermosa__d__3272.5_C1b,C,784,orange,#FFA600
CG14E01−9_Uruguay_DepartmentDeRocha__d__915_C1b,C,784,orange,#FFA600
CG14E01−10_Uruguay_DepartmentDeRocha__d__915_C1b,C,784,orange,#FFA600
I11295_USA_Ca−sba−78_California_c_400_C1b,C,784,orange,#FFA600
I11294_USA_Ca−sba−73_California_d_1467_C1b,C,784,orange,#FFA600
I11969_USA_Ca−sri−5a_California_d_3463_C1b,C,784,orange,#FFA600
MW886110_Argentina_ElDiquecito__d__2288_C1b,C,784,orange,#FFA600
MW886107_Argentina_ElDiquecito__d__2454_C1b,C,784,orange,#FFA600
BTK35_Canada_Newfoundland__d__193_C1c,C,784,orange,#FFA600
BTK72_Canada_Newfoundland__d__217_C1c,C,784,orange,#FFA600
BTK71_Canada_Newfoundland__d__285_C1c,C,784,orange,#FFA600
BTK15_Canada_Newfoundland__d__197_C1c,C,784,orange,#FFA600
L_AnseAmour_Canada_Newfoundland__d__7714_C1c,C,784,orange,#FFA600
I11892_Curacao_DeSavaan_Caribbean_d_603_C1c,C,784,orange,#FFA600
I11244_USA_Castroville_California_d_875_C,C,784,orange,#FFA600
I7090_Argentina_ArroyoSecoIi_d_7162_C1c,C,784,orange,#FFA600
I24542_Belize_MayahakCabPek_d_4735_C1c,C,784,orange,#FFA600
I2261_Peru_LaGalgada_d_4105_C1c,C,784,orange,#FFA600
ASO_B13_S20__c_Argentina_ArroyoSeco2__8366.5_C1c,C,784,orange,#FFA600
I19942_Belize_SakiTzul_d_4943_C1c,C,784,orange,#FFA600
ASO_B1_S1__c_Argentina_ArroyoSeco2__7140_C1c,C,784,orange,#FFA600
